emotion,TextLength
Neutral,11
Neutral,20
Anger,6
Fear,5
Anger,3
Surprise,17
Joy,25
Joy,17
Joy,10
Neutral,11
Surprise,11
Joy,21
Neutral,15
Joy,21
Anger,12
Anger,10
Joy,3
Anger,2
Neutral,6
Surprise,11
Surprise,16
Neutral,12
Neutral,8
Neutral,4
Neutral,11
Anger,5
Neutral,8
Sadness,5
Joy,2
Neutral,13
Anger,19
Surprise,17
Neutral,7
Anger,9
Surprise,9
Joy,6
Neutral,20
Joy,5
Sadness,22
Neutral,8
Joy,5
Joy,7
Sadness,14
Neutral,19
Surprise,10
Anger,9
Joy,27
Neutral,17
Neutral,6
Neutral,12
Neutral,3
Neutral,18
Joy,4
Neutral,2
Joy,3
Anger,4
Neutral,14
Neutral,15
Neutral,4
Joy,10
Joy,3
Neutral,16
Neutral,5
Joy,4
Neutral,3
Joy,2
Neutral,3
Joy,10
Neutral,13
Joy,10
Neutral,3
Joy,8
Anger,9
Neutral,10
Neutral,9
Neutral,11
Joy,15
Joy,4
Neutral,6
Joy,6
Joy,13
Joy,15
Sadness,3
Joy,16
Neutral,12
Sadness,3
Joy,9
Sadness,8
Joy,27
Neutral,14
Joy,8
Neutral,4
Sadness,13
Joy,24
Joy,10
Neutral,18
Surprise,11
Neutral,6
Surprise,23
Neutral,6
Joy,6
Anger,19
Anger,4
Neutral,25
Neutral,13
Joy,23
Neutral,15
Surprise,9
Neutral,12
Joy,25
Neutral,17
Joy,5
Surprise,21
Neutral,14
Joy,19
Neutral,7
Anger,4
Anger,14
Neutral,4
Neutral,21
Sadness,12
Joy,15
Neutral,12
Anger,7
Anger,22
Surprise,11
Surprise,26
Anger,4
Neutral,11
Joy,23
Joy,14
Neutral,5
Anger,6
Neutral,21
Neutral,9
Sadness,26
Surprise,15
Surprise,28
Neutral,5
Anger,13
Anger,24
Joy,13
Neutral,15
Neutral,13
Joy,21
Sadness,10
Joy,12
Joy,15
Joy,6
Joy,16
Joy,5
Joy,5
Surprise,10
Anger,19
Neutral,9
Neutral,9
Joy,11
Fear,12
Joy,6
Neutral,17
Joy,4
Neutral,10
Anger,13
Neutral,19
Joy,17
Neutral,9
Joy,22
Neutral,22
Fear,20
Surprise,12
Joy,27
Neutral,3
Joy,3
Neutral,7
Neutral,12
Joy,12
Neutral,5
Joy,14
Joy,10
Neutral,3
Surprise,10
Surprise,14
Joy,11
Joy,11
Joy,13
Anger,9
Neutral,15
Joy,5
Neutral,9
Surprise,6
Joy,18
Anger,9
Anger,22
Joy,8
Joy,12
Neutral,8
Neutral,12
Neutral,5
Joy,20
Neutral,7
Surprise,14
Surprise,10
Sadness,11
Joy,12
Anger,21
Neutral,4
Joy,16
Joy,11
Neutral,22
Joy,13
Joy,10
Neutral,6
Surprise,23
Neutral,20
Joy,17
Neutral,8
Surprise,24
Neutral,8
Sadness,11
Joy,7
Joy,15
Sadness,19
Joy,17
Joy,19
Joy,18
Surprise,18
Joy,14
Neutral,21
Neutral,6
Neutral,8
Joy,16
Anger,8
Neutral,6
Joy,10
Neutral,25
Joy,9
Surprise,12
Joy,19
Anger,17
Anger,13
Surprise,20
Surprise,11
Neutral,9
Neutral,18
Joy,13
Joy,13
Neutral,8
Joy,4
Joy,3
Neutral,8
Sadness,20
Anger,27
Neutral,5
Anger,24
Neutral,16
Surprise,13
Anger,3
Joy,14
Anger,18
Sadness,14
Joy,7
Neutral,14
Neutral,20
Neutral,21
Sadness,9
Joy,29
Joy,5
Joy,16
Neutral,16
Neutral,20
Joy,10
Joy,18
Neutral,5
Anger,14
Anger,19
Joy,12
Anger,10
Joy,21
Sadness,5
Surprise,11
Sadness,15
Neutral,2
Joy,6
Joy,14
Neutral,9
Neutral,11
Joy,3
Joy,28
Neutral,23
Surprise,24
Anger,8
Surprise,3
Joy,9
Fear,13
Neutral,19
Joy,24
Neutral,12
Joy,2
Neutral,14
Anger,16
Joy,28
Neutral,3
Joy,20
Anger,27
Joy,12
Neutral,12
Neutral,9
Joy,19
Joy,10
Joy,6
Anger,5
Anger,25
Joy,13
Neutral,9
Neutral,16
Neutral,17
Surprise,11
Sadness,9
Joy,12
Joy,12
Neutral,18
Neutral,21
Neutral,5
Surprise,11
Neutral,10
Surprise,10
Anger,14
Joy,17
Neutral,19
Joy,8
Anger,10
Joy,3
Joy,7
Joy,21
Joy,19
Surprise,14
Neutral,3
Anger,7
Joy,20
Fear,13
Neutral,11
Neutral,10
Neutral,11
Neutral,10
Anger,16
Joy,12
Joy,9
Joy,15
Sadness,29
Surprise,9
Anger,18
Joy,13
Anger,11
Neutral,11
Anger,21
Surprise,8
Joy,7
Joy,5
Joy,12
Neutral,11
Neutral,4
Neutral,11
Joy,23
Joy,21
Neutral,4
Anger,4
Fear,13
Joy,6
Surprise,21
Surprise,18
Fear,19
Surprise,13
Neutral,18
Anger,26
Joy,6
Joy,9
Surprise,12
Neutral,12
Joy,21
Neutral,4
Anger,9
Joy,6
Joy,4
Sadness,19
Sadness,6
Joy,7
Joy,11
Joy,11
Neutral,17
Neutral,2
Neutral,3
Anger,22
Joy,13
Neutral,14
Joy,13
Joy,19
Sadness,16
Joy,5
Fear,21
Anger,4
Neutral,4
Sadness,7
Neutral,13
Sadness,14
Sadness,4
Joy,17
Fear,5
Joy,13
Neutral,25
Anger,14
Neutral,2
Neutral,7
Neutral,10
Surprise,4
Neutral,23
Surprise,17
Joy,15
Joy,13
Joy,12
Joy,16
Joy,9
Neutral,14
Joy,11
Anger,13
Sadness,7
Joy,12
Neutral,3
Neutral,15
Joy,7
Joy,12
Joy,27
Neutral,4
Joy,12
Neutral,20
Joy,19
Anger,20
Joy,12
Surprise,21
Anger,6
Neutral,4
Neutral,20
Neutral,8
Neutral,13
Surprise,13
Neutral,13
Joy,12
Joy,24
Joy,5
Joy,16
Joy,4
Joy,4
Surprise,24
Joy,15
Anger,11
Neutral,9
Neutral,14
Surprise,12
Surprise,17
Neutral,20
Anger,5
Neutral,16
Anger,9
Joy,13
Surprise,10
Neutral,14
Anger,7
Joy,13
Neutral,13
Joy,11
Joy,3
Sadness,4
Joy,12
Joy,8
Neutral,21
Joy,10
Neutral,18
Neutral,20
Surprise,17
Neutral,26
Neutral,6
Joy,3
Surprise,17
Joy,20
Joy,12
Anger,9
Neutral,16
Joy,5
Joy,4
Joy,13
Neutral,3
Neutral,7
Neutral,4
Anger,7
Anger,11
Joy,2
Surprise,24
Joy,11
Neutral,28
Surprise,20
Anger,16
Joy,24
Joy,5
Joy,9
Anger,14
Sadness,14
Joy,24
Neutral,7
Neutral,9
Anger,24
Joy,4
Neutral,14
Joy,10
Joy,3
Surprise,24
Surprise,7
Joy,16
Joy,21
Surprise,11
Anger,15
Joy,25
Joy,17
Joy,13
Anger,18
Joy,17
Anger,10
Fear,7
Joy,18
Sadness,6
Surprise,1
Joy,9
Neutral,4
Neutral,18
Sadness,5
Neutral,8
Joy,12
Joy,15
Joy,10
Neutral,12
Surprise,19
Joy,11
Surprise,14
Neutral,9
Anger,5
Neutral,3
Fear,13
Surprise,6
Joy,18
Joy,17
Anger,18
Neutral,18
Anger,11
Neutral,12
Joy,16
Anger,16
Joy,22
Joy,12
Joy,8
Neutral,4
Anger,21
Joy,6
Sadness,11
Joy,5
Neutral,2
Neutral,13
Neutral,6
Sadness,15
Neutral,8
Anger,2
Sadness,12
Anger,12
Neutral,2
Joy,4
Surprise,14
Joy,19
Joy,4
Joy,14
Sadness,15
Joy,4
Joy,10
Joy,18
Neutral,18
Surprise,18
Joy,15
Joy,10
Neutral,12
Neutral,9
Joy,13
Joy,16
Joy,8
Joy,22
Neutral,17
Anger,18
Surprise,5
Surprise,6
Neutral,14
Joy,6
Anger,10
Joy,18
Neutral,26
Surprise,3
Joy,15
Joy,24
Surprise,8
Anger,8
Joy,23
Anger,22
Joy,15
Neutral,23
Anger,9
Joy,12
Anger,20
Neutral,25
Anger,8
Joy,10
Joy,19
Joy,6
Joy,5
Joy,2
Neutral,17
Neutral,14
Surprise,14
Anger,22
Anger,25
Anger,21
Joy,21
Joy,6
Anger,3
Sadness,22
Joy,9
Joy,11
Joy,14
Neutral,24
Neutral,20
Anger,24
Sadness,14
Neutral,19
Joy,24
Neutral,5
Neutral,10
Surprise,11
Joy,5
Surprise,8
Joy,4
Joy,22
Anger,24
Surprise,9
Anger,20
Neutral,4
Anger,8
Neutral,12
Joy,5
Neutral,2
Neutral,4
Joy,14
Joy,14
Joy,14
Neutral,11
Surprise,3
Neutral,23
Surprise,8
Sadness,8
Anger,19
Anger,16
Joy,7
Anger,8
Neutral,11
Neutral,22
Surprise,18
Joy,25
Neutral,6
Neutral,10
Neutral,18
Joy,10
Joy,13
Neutral,23
Sadness,11
Joy,11
Anger,9
Surprise,16
Neutral,18
Joy,7
Joy,10
Joy,4
Joy,22
Neutral,16
Joy,24
Neutral,12
Joy,8
Neutral,13
Anger,19
Anger,24
Joy,16
Joy,13
Neutral,7
Anger,15
Neutral,18
Joy,13
Joy,7
Joy,4
Anger,9
Joy,5
Joy,9
Neutral,21
Anger,11
Joy,10
Joy,1
Joy,21
Sadness,6
Joy,8
Anger,16
Joy,16
Joy,11
Joy,6
Surprise,19
Sadness,27
Anger,18
Neutral,4
Anger,7
Neutral,10
Joy,12
Neutral,12
Neutral,11
Anger,18
Surprise,4
Joy,26
Sadness,15
Neutral,19
Neutral,16
Joy,19
Anger,4
Joy,6
Neutral,12
Neutral,23
Joy,10
Joy,22
Joy,11
Surprise,21
Sadness,25
Neutral,6
Neutral,17
Sadness,14
Joy,8
Neutral,19
Anger,14
Neutral,15
Neutral,13
Neutral,11
Surprise,15
Joy,7
Surprise,8
Joy,7
Anger,4
Anger,9
Neutral,4
Anger,2
Joy,14
Joy,5
Anger,5
Joy,4
Surprise,6
Sadness,8
Joy,2
Joy,5
Neutral,24
Joy,14
Joy,8
Neutral,8
Joy,12
Anger,12
Surprise,20
Surprise,12
Neutral,3
Neutral,19
Joy,18
Anger,3
Sadness,18
Fear,21
Anger,11
Neutral,24
Joy,16
Joy,11
Joy,9
Joy,22
Neutral,3
Joy,12
Joy,19
Joy,27
Neutral,25
Joy,20
Sadness,3
Surprise,23
Surprise,15
Sadness,15
Joy,15
Joy,17
Anger,7
Neutral,10
Neutral,12
Joy,23
Sadness,22
Joy,4
Anger,23
Neutral,11
Joy,17
Surprise,9
Neutral,7
Joy,14
Neutral,12
Anger,15
Neutral,23
Neutral,1
Neutral,5
Joy,4
Neutral,9
Anger,4
Neutral,13
Anger,21
Anger,21
Neutral,6
Anger,15
Neutral,20
Anger,11
Sadness,10
Neutral,24
Surprise,18
Joy,20
Sadness,17
Surprise,15
Neutral,7
Joy,13
Neutral,3
Joy,10
Anger,20
Joy,5
Joy,12
Neutral,7
Joy,7
Joy,3
Anger,5
Neutral,5
Sadness,5
Joy,3
Sadness,4
Joy,16
Neutral,4
Joy,21
Neutral,10
Joy,17
Joy,11
Joy,11
Anger,23
Neutral,27
Neutral,18
Joy,24
Joy,17
Joy,8
Neutral,21
Surprise,8
Surprise,13
Joy,7
Joy,12
Neutral,13
Sadness,15
Joy,4
Neutral,9
Joy,5
Surprise,9
Neutral,11
Anger,8
Anger,10
Neutral,13
Neutral,4
Surprise,8
Joy,16
Anger,5
Joy,9
Joy,7
Sadness,21
Neutral,19
Neutral,7
Joy,19
Joy,18
Joy,2
Joy,6
Joy,3
Joy,14
Anger,5
Neutral,2
Surprise,3
Neutral,20
Joy,20
Joy,23
Anger,6
Surprise,19
Joy,19
Neutral,5
Neutral,15
Neutral,12
Joy,15
Neutral,2
Surprise,24
Neutral,2
Anger,8
Neutral,5
Joy,21
Joy,14
Neutral,8
Joy,3
Joy,20
Neutral,10
Neutral,18
Neutral,16
Joy,20
Joy,15
Joy,21
Joy,6
Joy,15
Joy,14
Anger,10
Neutral,3
Joy,5
Joy,12
Joy,4
Sadness,22
Anger,9
Surprise,24
Neutral,7
Anger,2
Joy,13
Neutral,12
Joy,15
Joy,3
Neutral,7
Neutral,5
Neutral,16
Sadness,15
Joy,18
Joy,15
Joy,20
Neutral,23
Neutral,18
Surprise,7
Neutral,15
Anger,23
Anger,9
Neutral,22
Joy,20
Sadness,21
Sadness,15
Neutral,4
Neutral,15
Neutral,4
Neutral,13
Joy,12
Anger,16
Joy,26
Anger,20
Sadness,13
Joy,15
Joy,11
Joy,18
Joy,22
Joy,11
Anger,24
Neutral,19
Joy,6
Surprise,8
Joy,14
Surprise,16
Neutral,9
Neutral,8
Neutral,4
Anger,11
Neutral,6
Surprise,9
Sadness,15
Fear,14
Neutral,25
Joy,11
Joy,13
Joy,17
Joy,3
Surprise,16
Neutral,8
Joy,19
Joy,9
Anger,3
Joy,4
Neutral,2
Joy,17
Joy,3
Joy,17
Neutral,4
Joy,10
Joy,18
Joy,19
Neutral,1
Anger,23
Neutral,5
Sadness,8
Anger,7
Joy,7
Sadness,18
Surprise,11
Neutral,24
Joy,8
Neutral,21
Neutral,3
Surprise,15
Joy,6
Sadness,21
Neutral,20
Anger,10
Sadness,4
Joy,9
Joy,7
Neutral,8
Joy,8
Anger,16
Surprise,8
Joy,5
Neutral,10
Anger,7
Surprise,15
Joy,9
Joy,2
Neutral,13
Neutral,20
Neutral,2
Neutral,21
Joy,24
Joy,8
Joy,23
Joy,8
Anger,20
Neutral,21
Neutral,18
Anger,22
Neutral,4
Joy,5
Joy,4
Neutral,3
Sadness,19
Joy,21
Neutral,7
Surprise,8
Anger,12
Neutral,5
Joy,5
Surprise,4
Surprise,8
Joy,21
Neutral,22
Anger,12
Joy,13
Neutral,3
Surprise,16
Surprise,19
Neutral,5
Sadness,7
Surprise,23
Anger,17
Neutral,12
Sadness,14
Anger,10
Joy,5
Neutral,13
Sadness,5
Fear,25
Joy,19
Joy,12
Surprise,6
Joy,22
Anger,6
Joy,15
Neutral,4
Neutral,21
Neutral,19
Joy,13
Joy,4
Anger,26
Neutral,18
Neutral,9
Joy,5
Joy,13
Neutral,12
Anger,6
Neutral,15
Joy,4
Neutral,14
Joy,10
Sadness,19
Neutral,7
Joy,20
Neutral,12
Neutral,12
Neutral,22
Neutral,9
Surprise,15
Joy,22
Neutral,11
Surprise,5
Neutral,6
Neutral,11
Neutral,25
Joy,5
Sadness,6
Joy,5
Joy,11
Neutral,10
Neutral,9
Joy,15
Joy,7
Sadness,23
Surprise,8
Sadness,4
Joy,12
Surprise,23
Sadness,25
Surprise,18
Joy,12
Joy,8
Joy,17
Joy,12
Joy,12
Neutral,9
Joy,18
Joy,12
Joy,22
Neutral,11
Neutral,26
Joy,24
Surprise,13
Neutral,22
Neutral,10
Sadness,3
Neutral,9
Anger,5
Joy,18
Joy,18
Neutral,5
Neutral,7
Joy,14
Joy,9
Neutral,8
Anger,11
Neutral,2
Joy,13
Joy,6
Anger,10
Joy,5
Joy,12
Joy,27
Anger,12
Joy,4
Joy,19
Joy,20
Neutral,25
Neutral,25
Neutral,10
Neutral,10
Joy,11
Joy,8
Anger,23
Joy,10
Neutral,4
Joy,15
Joy,16
Anger,8
Joy,8
Surprise,10
Joy,24
Neutral,17
Neutral,13
Surprise,9
Joy,5
Joy,5
Joy,20
Anger,18
Joy,3
Joy,20
Neutral,11
Neutral,14
Neutral,21
Joy,15
Neutral,11
Joy,3
Neutral,18
Neutral,7
Surprise,22
Joy,5
Anger,18
Joy,4
Surprise,3
Joy,4
Anger,20
Joy,5
Joy,15
Joy,5
Joy,17
Anger,22
Joy,8
Sadness,19
Joy,16
Joy,11
Neutral,9
Joy,15
Joy,13
Joy,12
Neutral,12
Neutral,10
Neutral,8
Neutral,2
Surprise,19
Neutral,7
Fear,15
Sadness,9
Neutral,14
Joy,3
Neutral,26
Joy,12
Anger,28
Neutral,19
Joy,21
Neutral,24
Neutral,10
Anger,16
Anger,13
Surprise,20
Neutral,11
Joy,9
Joy,6
Surprise,13
Surprise,27
Neutral,6
Joy,24
Joy,2
Neutral,6
Sadness,22
Neutral,22
Joy,16
Joy,24
Joy,18
Surprise,15
Surprise,6
Surprise,17
Anger,16
Joy,16
Neutral,7
Joy,11
Neutral,7
Neutral,7
Neutral,9
Neutral,12
Joy,3
Joy,5
Joy,4
Neutral,11
Joy,14
Surprise,7
Sadness,10
Joy,6
Anger,16
Joy,11
Joy,7
Joy,12
Anger,13
Surprise,25
Anger,4
Anger,2
Joy,14
Joy,10
Joy,18
Neutral,8
Joy,10
Joy,17
Joy,23
Sadness,13
Neutral,6
Joy,15
Joy,13
Sadness,9
Neutral,10
Joy,24
Anger,3
Neutral,23
Neutral,13
Neutral,25
Neutral,4
Anger,12
Anger,6
Neutral,5
Anger,20
Joy,14
Anger,17
Sadness,4
Joy,3
Joy,23
Surprise,12
Neutral,3
Surprise,9
Neutral,2
Neutral,24
Joy,12
Joy,5
Neutral,3
Joy,2
Neutral,18
Surprise,8
Surprise,7
Neutral,20
Surprise,23
Neutral,9
Surprise,20
Neutral,14
Joy,17
Neutral,4
Joy,16
Joy,5
Joy,17
Sadness,16
Joy,15
Joy,8
Surprise,10
Joy,2
Neutral,11
Neutral,8
Joy,2
Joy,16
Joy,6
Joy,12
Joy,16
Joy,13
Anger,12
Joy,14
Joy,5
Sadness,6
Joy,7
Sadness,15
Neutral,8
Joy,21
Joy,14
Joy,16
Joy,20
Neutral,19
Neutral,10
Neutral,10
Anger,7
Joy,9
Neutral,6
Joy,16
Neutral,11
Joy,17
Joy,19
Sadness,22
Joy,17
Neutral,13
Surprise,26
Joy,16
Sadness,3
Surprise,25
Anger,23
Neutral,20
Neutral,17
Joy,23
Sadness,27
Joy,3
Neutral,4
Anger,14
Joy,10
Joy,7
Joy,5
Joy,3
Surprise,23
Neutral,25
Surprise,16
Surprise,10
Joy,21
Joy,13
Joy,4
Neutral,14
Neutral,13
Joy,6
Neutral,24
Neutral,5
Joy,7
Neutral,21
Surprise,7
Anger,16
Neutral,23
Neutral,24
Neutral,9
Neutral,11
Anger,5
Neutral,18
Neutral,11
Joy,10
Anger,9
Neutral,14
Neutral,3
Joy,13
Surprise,24
Joy,25
Joy,4
Joy,17
Joy,17
Anger,17
Neutral,16
Neutral,10
Joy,8
Anger,16
Joy,22
Neutral,6
Surprise,27
Joy,19
Neutral,5
Joy,10
Neutral,1
Joy,20
Fear,20
Anger,17
Neutral,20
Anger,20
Joy,19
Neutral,15
Neutral,11
Neutral,4
Joy,4
Joy,10
Sadness,19
Sadness,15
Anger,23
Anger,12
Joy,16
Neutral,16
Anger,25
Neutral,22
Sadness,18
Neutral,6
Neutral,14
Surprise,14
Neutral,23
Joy,23
Surprise,14
Neutral,10
Anger,4
Joy,25
Anger,21
Neutral,25
Joy,3
Joy,6
Sadness,14
Neutral,15
Joy,6
Fear,14
Neutral,9
Joy,11
Joy,2
Neutral,14
Surprise,12
Neutral,3
Joy,8
Surprise,8
Surprise,8
Joy,5
Joy,3
Neutral,5
Anger,8
Joy,5
Sadness,24
Joy,3
Joy,13
Neutral,11
Joy,23
Joy,16
Surprise,10
Surprise,7
Neutral,3
Anger,13
Fear,13
Anger,6
Neutral,15
Anger,6
Joy,25
Neutral,24
Surprise,8
Joy,12
Neutral,23
Sadness,9
Sadness,5
Anger,7
Joy,2
Joy,9
Joy,26
Surprise,4
Anger,6
Neutral,4
Joy,24
Joy,18
Anger,22
Anger,9
Anger,5
Neutral,20
Surprise,14
Surprise,6
Neutral,11
Joy,10
Joy,15
Surprise,5
Neutral,8
Joy,9
Joy,13
Surprise,7
Neutral,10
Neutral,20
Joy,3
Anger,4
Anger,27
Anger,10
Anger,26
Joy,13
Joy,22
Neutral,7
Neutral,22
Neutral,9
Neutral,13
Joy,18
Neutral,18
Joy,21
Neutral,14
Anger,11
Surprise,14
Surprise,21
Joy,23
Anger,13
Neutral,14
Sadness,20
Joy,18
Neutral,22
Anger,3
Neutral,17
Joy,9
Anger,15
Joy,12
Joy,16
Joy,3
Neutral,8
Anger,5
Neutral,11
Neutral,21
Surprise,3
Joy,16
Joy,17
Joy,18
Sadness,5
Joy,16
Neutral,7
Anger,14
Anger,4
Joy,4
Neutral,3
Joy,13
Sadness,26
Joy,17
Joy,16
Sadness,8
Anger,11
Neutral,7
Anger,6
Joy,11
Anger,8
Joy,8
Joy,7
Joy,7
Neutral,6
Neutral,11
Sadness,7
Joy,15
Joy,27
Joy,16
Joy,3
Joy,15
Anger,22
Surprise,11
Neutral,4
Anger,16
Anger,20
Neutral,17
Neutral,5
Anger,8
Neutral,4
Neutral,3
Neutral,5
Joy,14
Anger,20
Neutral,14
Neutral,5
Joy,9
Fear,3
Neutral,20
Neutral,17
Joy,18
Neutral,25
Joy,16
Joy,3
Joy,10
Anger,6
Surprise,11
Joy,26
Neutral,28
Neutral,3
Joy,6
Anger,17
Joy,9
Neutral,21
Anger,16
Neutral,8
Joy,13
Joy,18
Anger,14
Neutral,16
Fear,4
Joy,10
Joy,6
Joy,20
Surprise,8
Anger,18
Joy,6
Anger,24
Joy,9
Joy,4
Anger,10
Sadness,24
Surprise,6
Anger,15
Joy,4
Neutral,19
Joy,28
Joy,12
Anger,20
Neutral,12
Joy,14
Anger,12
Joy,2
Joy,17
Sadness,22
Joy,13
Neutral,7
Joy,23
Joy,7
Joy,25
Neutral,22
Anger,7
Surprise,3
Anger,16
Joy,20
Joy,7
Joy,21
Neutral,3
Sadness,19
Joy,8
Joy,12
Joy,13
Sadness,10
Joy,3
Joy,6
Neutral,4
Neutral,5
Surprise,17
Anger,23
Joy,17
Anger,14
Neutral,6
Anger,4
Sadness,8
Anger,10
Joy,14
Neutral,9
Joy,12
Surprise,8
Neutral,15
Joy,13
Joy,5
Joy,3
Anger,19
Joy,23
Joy,10
Neutral,10
Joy,20
Neutral,24
Surprise,11
Neutral,28
Surprise,13
Joy,3
Joy,8
Neutral,17
Joy,22
Neutral,19
Joy,21
Anger,14
Joy,22
Neutral,27
Joy,10
Joy,19
Joy,3
Sadness,19
Joy,16
Fear,17
Neutral,4
Joy,25
Neutral,23
Sadness,21
Surprise,16
Neutral,7
Neutral,15
Neutral,15
Joy,15
Anger,26
Neutral,19
Joy,23
Neutral,9
Neutral,19
Anger,19
Neutral,7
Joy,4
Surprise,10
Surprise,5
Fear,6
Neutral,18
Joy,9
Joy,18
Joy,19
Joy,17
Neutral,20
Joy,21
Neutral,11
Neutral,12
Joy,16
Joy,9
Anger,18
Joy,10
Joy,5
Neutral,11
Joy,10
Joy,8
Neutral,8
Neutral,6
Neutral,11
Joy,17
Neutral,3
Surprise,22
Neutral,25
Neutral,13
Neutral,8
Anger,13
Joy,17
Neutral,7
Joy,24
Neutral,23
Joy,6
Surprise,10
Anger,16
Surprise,20
Neutral,18
Neutral,14
Anger,6
Anger,24
Joy,5
Sadness,19
Anger,19
Joy,14
Neutral,5
Neutral,15
Neutral,6
Joy,14
Neutral,11
Joy,13
Anger,6
Joy,19
Joy,6
Neutral,19
Neutral,5
Joy,8
Joy,15
Neutral,7
Anger,19
Joy,7
Joy,7
Joy,7
Neutral,21
Joy,7
Joy,12
Neutral,21
Joy,6
Neutral,17
Surprise,20
Surprise,7
Joy,15
Joy,10
Anger,14
Joy,20
Joy,22
Joy,10
Neutral,27
Joy,18
Neutral,17
Joy,16
Anger,7
Anger,25
Anger,18
Sadness,16
Joy,8
Neutral,16
Surprise,11
Joy,3
Joy,22
Joy,24
Surprise,14
Anger,14
Joy,19
Joy,5
Neutral,19
Joy,17
Joy,22
Joy,5
Joy,3
Anger,9
Surprise,4
Neutral,11
Joy,10
Joy,8
Anger,5
Anger,3
Joy,15
Joy,7
Surprise,16
Surprise,18
Joy,4
Anger,8
Joy,11
Neutral,14
Neutral,15
Joy,8
Neutral,23
Sadness,7
Neutral,3
Joy,4
Joy,17
Neutral,4
Joy,4
Joy,17
Anger,2
Surprise,20
Joy,6
Joy,19
Neutral,19
Neutral,24
Neutral,15
Sadness,12
Surprise,21
Joy,4
Joy,16
Joy,3
Joy,16
Joy,20
Surprise,9
Anger,7
Neutral,3
Joy,15
Joy,11
Anger,18
Joy,7
Neutral,20
Joy,16
Joy,8
Joy,8
Joy,10
Joy,8
Joy,16
Sadness,6
Neutral,20
Joy,15
Joy,22
Neutral,27
Surprise,5
Joy,22
Joy,8
Surprise,25
Sadness,13
Joy,6
Joy,9
Neutral,19
Sadness,19
Joy,12
Surprise,3
Neutral,4
Joy,16
Surprise,3
Joy,11
Joy,24
Joy,25
Joy,21
Joy,7
Neutral,19
Joy,4
Neutral,17
Neutral,6
Neutral,5
Sadness,11
Joy,5
Neutral,3
Neutral,19
Anger,21
Anger,18
Neutral,9
Anger,6
Joy,4
Joy,2
Neutral,9
Joy,5
Joy,4
Neutral,14
Joy,19
Neutral,25
Joy,23
Joy,15
Anger,23
Neutral,1
Anger,15
Neutral,15
Joy,7
Joy,3
Neutral,18
Joy,9
Joy,8
Neutral,3
Joy,16
Neutral,13
Joy,16
Anger,5
Joy,15
Joy,13
Joy,7
Surprise,17
Neutral,16
Neutral,23
Fear,26
Neutral,15
Anger,5
Joy,16
Joy,16
Joy,8
Anger,18
Anger,19
Neutral,12
Anger,22
Neutral,5
Joy,15
Joy,14
Anger,13
Neutral,8
Anger,10
Sadness,9
Joy,17
Joy,18
Joy,9
Sadness,7
Neutral,21
Joy,12
Joy,4
Neutral,19
Neutral,21
Neutral,5
Joy,9
Joy,4
Joy,23
Joy,11
Joy,1
Joy,8
Joy,4
Neutral,3
Sadness,28
Joy,5
Joy,4
Neutral,7
Neutral,6
Neutral,12
Joy,4
Joy,5
Joy,8
Neutral,11
Neutral,9
Joy,11
Joy,23
Neutral,10
Joy,9
Joy,12
Joy,11
Joy,20
Joy,23
Neutral,5
Neutral,10
Joy,3
Sadness,18
Sadness,26
Joy,2
Joy,9
Joy,19
Surprise,12
Anger,18
Joy,6
Joy,18
Neutral,14
Joy,14
Joy,20
Joy,18
Joy,13
Sadness,23
Surprise,8
Joy,23
Fear,5
Neutral,6
Neutral,24
